Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
H04,FAM,PfVarATS,Unkn,2832,NaN,NaN,0
H05,FAM,PfVarATS,Unkn,2833,NaN,NaN,0
H06,FAM,PfVarATS,Unkn,2834,NaN,NaN,0
A01,FAM,PfVarATS,Unkn,2435,NaN,NaN,0
A02,FAM,PfVarATS,Unkn,2436,NaN,NaN,0
A03,FAM,PfVarATS,Unkn,2437,NaN,NaN,0
A04,FAM,PfVarATS,Unkn,2438,NaN,NaN,0
A05,FAM,PfVarATS,Unkn,2439,NaN,NaN,0
A06,FAM,PfVarATS,Unkn,2440,NaN,NaN,0
A07,FAM,PfVarATS,Unkn,2441,39.58153151,NaN,39.58153151
A08,FAM,PfVarATS,Unkn,2442,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,2443,NaN,NaN,0
A10,FAM,PfVarATS,Unkn,2444,NaN,NaN,0
A11,FAM,PfVarATS,Unkn,2445,NaN,NaN,0
A12,FAM,PfVarATS,Unkn,2446,44.75238173,NaN,44.75238173
B01,FAM,PfVarATS,Unkn,2447,NaN,NaN,0
B02,FAM,PfVarATS,Unkn,2448,NaN,NaN,0
B03,FAM,PfVarATS,Unkn,2449,37.59040296,NaN,37.59040296
B04,FAM,PfVarATS,Unkn,2450,NaN,NaN,0
B05,FAM,PfVarATS,Unkn,2451,NaN,NaN,0
B07,FAM,PfVarATS,Unkn,2453,NaN,NaN,0
B08,FAM,PfVarATS,Unkn,2454,NaN,NaN,0
B09,FAM,PfVarATS,Unkn,2455,NaN,NaN,0
B10,FAM,PfVarATS,Unkn,2534,NaN,NaN,0
B11,FAM,PfVarATS,Unkn,2535,NaN,NaN,0
B12,FAM,PfVarATS,Unkn,2536,NaN,NaN,0
C02,FAM,PfVarATS,Unkn,2538,NaN,NaN,0
